birthyr,birthqtr,vetwwii,incwage,disabwrk1,disabwrk2
1924,4,1,35005,0,0
1926,3,1,54005,0,0
1926,4,1,18005,0,0
1928,4,0,26005,0,0
1928,4,1,72005,0,0
1928,4,0,45005,0,0
1928,4,0,19005,0,0
1928,3,0,35005,1,1
1928,3,0,12005,0,0
1924,3,1,0,1,2
1926,3,1,30005,0,0
1924,3,1,45005,0,0
1926,4,1,17005,0,0
1924,3,1,36005,0,0
1928,3,0,75000,0,0
1926,4,1,40005,0,0
1928,4,0,0,0,0
1928,4,0,18005,0,0
1924,4,1,27455,0,0
1924,4,1,5005,0,0
1926,4,1,27975,0,0
1926,3,1,32005,0,0
1928,4,0,46005,0,0
1928,3,1,0,0,0
1924,3,1,30005,0,0
1924,4,0,15335,1,1
1928,4,1,24955,1,1
1926,4,1,12005,0,0
1924,4,1,40505,0,0
1924,3,1,24005,0,0
1926,3,1,7025,0,0
1924,3,0,37965,0,0
1924,4,1,44005,0,0
1924,4,1,2705,0,0
1926,4,1,19005,0,0
1924,3,1,18005,0,0
1928,4,0,11005,0,0
1928,4,0,50005,0,0
1928,3,0,39005,0,0
1924,3,1,31335,0,0
1926,4,1,41005,0,0
1926,3,1,25485,0,0
1928,4,0,0,0,0
1928,3,1,40005,0,0
1928,3,0,15005,0,0
1924,3,0,0,0,0
1924,3,1,50005,1,1
1924,3,0,22005,0,0
1926,3,1,42135,0,0
1928,4,0,16005,0,0
1928,3,1,46005,0,0
1928,3,1,46005,0,0
1926,3,1,0,0,0
1926,3,1,0,1,2
1924,3,0,37005,1,1
1928,4,0,1205,0,0
1926,4,1,27005,0,0
1924,4,0,27005,0,0
1926,4,0,405,0,0
1928,3,1,30005,0,0
1924,4,0,0,0,0
1924,4,1,0,0,0
1926,3,1,8845,1,2
1928,3,0,22005,0,0
1926,3,1,24445,0,0
1924,3,0,29005,0,0
1924,4,0,24005,0,0
1926,3,1,75000,0,0
1928,4,1,10555,0,0
1928,3,1,53045,0,0
1926,3,1,0,0,0
1928,3,0,18005,1,1
1924,4,0,40005,0,0
1924,4,1,21705,0,0
1928,4,0,33445,0,0
1926,3,1,0,0,0
1924,3,0,30005,0,0
1924,4,1,26405,0,0
1924,3,1,53005,0,0
1924,4,1,8005,1,2
1924,3,1,40005,0,0
1926,3,1,35885,0,0
1928,3,1,15005,0,0
1928,4,0,0,0,0
1928,3,0,10505,0,0
1926,3,1,20005,0,0
1926,4,1,0,0,0
1926,4,1,40005,0,0
1928,3,0,12505,0,0
1926,3,1,20535,0,0
1928,4,0,0,0,0
1928,4,0,43015,0,0
1928,4,0,10005,0,0
1924,3,0,0,0,0
1928,4,0,30555,0,0
1928,4,0,35005,0,0
1924,3,0,12005,0,0
1924,4,0,30005,0,0
1924,3,1,30005,0,0
1926,4,0,46005,0,0
1924,3,1,52005,0,0
1926,3,1,10005,0,0
1928,3,0,13005,0,0
1926,4,1,26525,0,0
1928,4,0,21485,0,0
1928,4,0,39755,0,0
1926,3,1,36925,0,0
1926,3,0,28605,0,0
1928,4,0,18005,1,1
1926,3,1,26005,0,0
1928,4,0,15005,0,0
1928,3,1,16005,0,0
1926,4,1,28005,0,0
1926,4,1,0,0,0
1926,4,0,0,1,2
1928,4,0,0,0,0
1926,4,0,0,0,0
1928,4,0,7125,0,0
1928,3,1,26005,0,0
1928,3,0,33805,0,0
1928,3,1,32005,1,1
1926,4,0,33005,0,0
1928,4,0,11005,0,0
1926,3,1,28005,0,0
1928,4,1,1025,0,0
1928,4,0,0,0,0
1926,3,1,0,0,0
1926,3,0,2535,1,1
1924,4,1,1005,0,0
1924,3,1,12005,1,2
1928,3,0,38005,0,0
1926,3,1,30005,0,0
1926,4,1,46005,0,0
1928,3,0,13005,0,0
1926,3,1,3605,0,0
1924,3,0,0,0,0
1928,3,0,0,0,0
1924,3,1,12005,0,0
1926,4,0,6005,0,0
1924,4,1,0,1,2
1926,4,1,22375,0,0
1928,3,0,15505,0,0
1928,4,1,30005,0,0
1928,4,0,0,1,2
1928,3,0,6005,1,1
1928,4,0,15005,0,0
1928,3,0,0,0,0
